sampleid	biosample	bioproject	reads	primer_group	genus	species	common_name	old_new_world	pathogen	diet_org	diet_assumed	diet_1	diet_2	diet_group	diet_cat	sex	reprod_stage	total_sample_no	sample_type	collection_year	captive_wild	habitat_assumed	habitat_group	habitat_level_1	habitat_level_2	roost_group	sociality_x	foraging	collection_location	country	continent	virus	body_mass_g	litter_size	litters_peryear	longevity_month	sociality_y	torpor_use
SAMEA9989245	SAMEA9989245_ERR7141748	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989244	SAMEA9989244_ERR7141747	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989243	SAMEA9989243_ERR7141746	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989242	SAMEA9989242_ERR7141745	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989241	SAMEA9989241_ERR7141744	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989240	SAMEA9989240_ERR7141743	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	Fish_eating_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989239	SAMEA9989239_ERR7141742	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	Greater_hourseshoe_bat	old_world	Betacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989238	SAMEA9989238_ERR7142022	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	Greater_hourseshoe_bat	old_world	Betacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989237	SAMEA9989237_ERR7142021	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	Greater_hourseshoe_bat	old_world	Betacoronaviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989236	SAMEA9989236_ERR7142020	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989235	SAMEA9989235_ERR7141741	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989234	SAMEA9989234_ERR7141740	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989233	SAMEA9989233_ERR7141739	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989232	SAMEA9989232_ERR7141738	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989231	SAMEA9989231_ERR7141737	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
