"","Antillean_fruit-eating_bat","Big-eared_horseshoe_bat","Buffy_flower_bat","Chinese_water_myotis","Common_bet-wing_bat","Common_noctune","Florida_bonneted_bat","Greater_musky_fruit_bat","Intermediate_horseshoe_bat","Jamaican_fruit_bat","Least_horseshoe_bat","Lesser_long-nosed_bat","Long-fingered_bat","Osgood's_horseshoe_bat","Parti-coloured_bat","Rickett's_big-footed_Myotis","Seba's_short-tailed_bat","Vampire_bat","Brazilian_free-tailed_bat","Greater_bulldog_bat"
"Acinetobacter",104,21007,10000,3289,628,5071,9516,66663,2590,937,9286,12199,9691,10351,5797,453,100956,2681,994,858
"Actinobacillus",0,722,1144,0,0,0,0,0,14869,2479901,26883,0,0,0,0,1144,0,0,0,0
"Cronobacter",0,4556,0,1608,1340,4020,0,1340,1876,0,3886,4422,2948,1608,3618,1742,4020,4020,0,0
"Enterococcus",0,348920,0,0,0,484021,183841,0,0,0,8856,167086,37867,80130,309184,79016,209618,0,62352,28617
"Escherichia-Shigella",742401,3866,660452,50037,52,14571,15883,0,14056,631418,733,584782,28849,19966,0,0,218281,348361,0,0
"Helicobacter",75906,14994,1074664,8127,5807,3158,324567,842440,6229,4600,5397,6602,36896,5292,135939,3613,3272,3540,2700,119622
"Lactococcus",78391,648714,18712,38116,0,641690,333033,0,59433,25126,0,367855,111211,322476,469630,0,82297,0,231205,81892
"Moraxella",12161,0,306,0,0,0,1596,0,0,10692,0,0,0,0,0,0,0,0,924,0
"Staphylococcus",16381,8505,10536,0,75,3100,275675,0,0,5547,11302,128393,24485,6362,1618,49,1022,386409,200983,1635
"Streptococcus",53954,3187,25224,972,891,2537,3366,9147,1165,193626,3000,135710,1871,977,2211,1901,3919,35527,19100,1692
