"Family","Animal","Genus","Group","Reads","Species","Sample_Indices"
"Enterobacteriaceae","Antillean_fruit-eating_bat","Escherichia-Shigella","Fruit",742401,14,"SAMN13897318;SAMN13897320;SAMN13897322;SAMN13897326;SAMN13897330;SAMN13897333;SAMN13897335;SAMN13897336;SAMN13897340;SAMN13897341;SAMN13897342;SAMN13897344;SAMN13897348;SAMN13897350"
"Enterobacteriaceae","Big-eared_horseshoe_bat","Cronobacter","Insect",4556,34,"SAMN37723906;SAMN37723907;SAMN37723908;SAMN37723909;SAMN37723910;SAMN37723911;SAMN37723912;SAMN37723913;SAMN37723914;SAMN37723915;SAMN37723916;SAMN37723917;SAMN37723918;SAMN37723919;SAMN37723920;SAMN37723921;SAMN37723922;SAMN37723923;SAMN37723924;SAMN37723925;SAMN37723926;SAMN37723927;SAMN37723931;SAMN37723932;SAMN37723934;SAMN37723935;SAMN37723936;SAMN37723937;SAMN37723939;SAMN37723940;SAMN37723943;SAMN37723944;SAMN37723945;SAMN37723957"
"Enterobacteriaceae","Big-eared_horseshoe_bat","Escherichia-Shigella","Insect",3866,34,"SAMN37723906;SAMN37723907;SAMN37723908;SAMN37723909;SAMN37723910;SAMN37723911;SAMN37723912;SAMN37723913;SAMN37723914;SAMN37723915;SAMN37723916;SAMN37723917;SAMN37723918;SAMN37723919;SAMN37723920;SAMN37723921;SAMN37723922;SAMN37723923;SAMN37723924;SAMN37723925;SAMN37723926;SAMN37723927;SAMN37723931;SAMN37723932;SAMN37723934;SAMN37723935;SAMN37723936;SAMN37723937;SAMN37723939;SAMN37723940;SAMN37723943;SAMN37723944;SAMN37723945;SAMN37723957"
"Enterobacteriaceae","Buffy_flower_bat","Escherichia-Shigella","Fruit",660452,20,"SAMN13897351;SAMN13897352;SAMN13897355;SAMN13897360;SAMN13897364;SAMN13897365;SAMN13897366;SAMN13897367;SAMN13897368;SAMN13897370;SAMN13897371;SAMN13897373;SAMN13897374;SAMN13897375;SAMN13897380;SAMN13897383;SAMN13897386;SAMN13897387;SAMN13897388;SAMN13897405"
"Enterobacteriaceae","Chinese_water_myotis","Escherichia-Shigella","Insect",50037,12,"SAMN37723958;SAMN37723967;SAMN37723971;SAMN37723972;SAMN37723973;SAMN37723977;SAMN37723978;SAMN37723980;SAMN37723981;SAMN37723984;SAMN37723985;SAMN37723989"
"Enterobacteriaceae","Chinese_water_myotis","Cronobacter","Insect",1608,12,"SAMN37723958;SAMN37723967;SAMN37723971;SAMN37723972;SAMN37723973;SAMN37723977;SAMN37723978;SAMN37723980;SAMN37723981;SAMN37723984;SAMN37723985;SAMN37723989"
"Enterobacteriaceae","Common_bet-wing_bat","Cronobacter","Insect",1340,10,"SAMEA9988533;SAMEA9989204;SAMEA9989205;SAMEA9989206;SAMEA9989207;SAMEA9989208;SAMEA9989209;SAMEA9989210;SAMEA9989211;SAMEA9989212"
"Enterobacteriaceae","Common_bet-wing_bat","Escherichia-Shigella","Insect",52,10,"SAMEA9988533;SAMEA9989204;SAMEA9989205;SAMEA9989206;SAMEA9989207;SAMEA9989208;SAMEA9989209;SAMEA9989210;SAMEA9989211;SAMEA9989212"
"Enterobacteriaceae","Common_noctune","Escherichia-Shigella","Insect",14571,11,"SAMN37240049;SAMN37240050;SAMN37240052;SAMN37240055;SAMN37240057;SAMN37240058;SAMN37240059;SAMN37240060;SAMN37240062;SAMN37240066;SAMN37240068"
"Enterobacteriaceae","Common_noctune","Cronobacter","Insect",4020,30,"SAMN37240039;SAMN37240040;SAMN37240041;SAMN37240042;SAMN37240043;SAMN37240044;SAMN37240045;SAMN37240046;SAMN37240047;SAMN37240048;SAMN37240049;SAMN37240050;SAMN37240051;SAMN37240052;SAMN37240053;SAMN37240054;SAMN37240055;SAMN37240056;SAMN37240057;SAMN37240058;SAMN37240059;SAMN37240060;SAMN37240061;SAMN37240062;SAMN37240063;SAMN37240064;SAMN37240065;SAMN37240066;SAMN37240067;SAMN37240068"
"Enterobacteriaceae","Florida_bonneted_bat","Escherichia-Shigella","Insect",15883,10,"11;22;27;34;38;40;47;51;65;66"
"Enterobacteriaceae","Greater_musky_fruit_bat","Cronobacter","Fruit",1340,10,"SAMN40905227;SAMN40905228;SAMN40905229;SAMN40905230;SAMN40905231;SAMN40905250;SAMN40905251;SAMN40905252;SAMN40905253;SAMN40905254"
"Enterobacteriaceae","Intermediate_horseshoe_bat","Escherichia-Shigella","Insect",14056,14,"SAMN37723947;SAMN37723949;SAMN37723950;SAMN37723951;SAMN37723952;SAMN37723960;SAMN37723966;SAMN37723968;SAMN37723983;SAMN37723986;SAMN37723987;SAMN37723988;SAMN37723990;SAMN37723991"
"Enterobacteriaceae","Intermediate_horseshoe_bat","Cronobacter","Insect",1876,14,"SAMN37723947;SAMN37723949;SAMN37723950;SAMN37723951;SAMN37723952;SAMN37723960;SAMN37723966;SAMN37723968;SAMN37723983;SAMN37723986;SAMN37723987;SAMN37723988;SAMN37723990;SAMN37723991"
"Enterobacteriaceae","Jamaican_fruit_bat","Escherichia-Shigella","Fruit",631418,31,"SAMN13897205;SAMN13897215;SAMN13897217;SAMN13897225;SAMN13897230;SAMN13897236;SAMN13897237;SAMN13897238;SAMN13897239;SAMN13897242;SAMN13897248;SAMN13897251;SAMN13897253;SAMN13897270;SAMN13897271;SAMN13897274;SAMN13897275;SAMN13897277;SAMN13897278;SAMN13897283;SAMN13897285;SAMN13897289;SAMN13897292;SAMN13897293;SAMN13897297;SAMN13897298;SAMN13897299;SAMN13897300;SAMN13897302;SAMN13897304;SAMN13897307"
"Enterobacteriaceae","Least_horseshoe_bat","Cronobacter","Insect",3886,29,"SAMN32721956;SAMN32721957;SAMN32721958;SAMN32721959;SAMN32721960;SAMN32721961;SAMN32721962;SAMN32721963;SAMN32721964;SAMN32721965;SAMN32721966;SAMN32721967;SAMN32721968;SAMN32721969;SAMN32721970;SAMN32721971;SAMN32721972;SAMN32721973;SAMN32721974;SAMN32721975;SAMN32721976;SAMN32721977;SAMN37723970;SAMN37723974;SAMN37723979;SAMN37723993;SAMN37723995;SAMN37723996;SAMN37723997"
"Enterobacteriaceae","Least_horseshoe_bat","Escherichia-Shigella","Insect",733,25,"SAMN32721956;SAMN32721957;SAMN32721959;SAMN32721960;SAMN32721961;SAMN32721962;SAMN32721963;SAMN32721964;SAMN32721965;SAMN32721966;SAMN32721968;SAMN32721970;SAMN32721971;SAMN32721972;SAMN32721974;SAMN32721975;SAMN32721976;SAMN32721977;SAMN37723970;SAMN37723974;SAMN37723979;SAMN37723993;SAMN37723995;SAMN37723996;SAMN37723997"
"Enterobacteriaceae","Lesser_long-nosed_bat","Escherichia-Shigella","Fruit",584782,33,"SAMN10583479;SAMN10583480;SAMN10583481;SAMN10583482;SAMN10583483;SAMN10583484;SAMN10583485;SAMN10583486;SAMN10583487;SAMN10583488;SAMN10583489;SAMN10583490;SAMN10583491;SAMN10583492;SAMN10583493;SAMN10583494;SAMN10583495;SAMN10583496;SAMN10583497;SAMN10583498;SAMN10583499;SAMN10583500;SAMN10583501;SAMN10583502;SAMN10583503;SAMN10583504;SAMN10583505;SAMN10583506;SAMN10583507;SAMN10583508;SAMN10583509;SAMN10583510;SAMN10583511"
"Enterobacteriaceae","Lesser_long-nosed_bat","Cronobacter","Fruit",4422,33,"SAMN10583479;SAMN10583480;SAMN10583481;SAMN10583482;SAMN10583483;SAMN10583484;SAMN10583485;SAMN10583486;SAMN10583487;SAMN10583488;SAMN10583489;SAMN10583490;SAMN10583491;SAMN10583492;SAMN10583493;SAMN10583494;SAMN10583495;SAMN10583496;SAMN10583497;SAMN10583498;SAMN10583499;SAMN10583500;SAMN10583501;SAMN10583502;SAMN10583503;SAMN10583504;SAMN10583505;SAMN10583506;SAMN10583507;SAMN10583508;SAMN10583509;SAMN10583510;SAMN10583511"
"Enterobacteriaceae","Long-fingered_bat","Escherichia-Shigella","Insect",28849,22,"SAMEA9988507;SAMEA9988508;SAMEA9988509;SAMEA9988510;SAMEA9988511;SAMEA9988512;SAMEA9988513;SAMEA9988514;SAMEA9988515;SAMEA9988516;SAMEA9988517;SAMEA9988518;SAMEA9988519;SAMEA9988520;SAMEA9988521;SAMEA9988522;SAMEA9988523;SAMEA9988524;SAMEA9988525;SAMEA9988526;SAMEA9988527;SAMEA9988528"
